"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","versionNotes","review"
"GEOGPRV","GEOGPRV_cat11_1","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","10","11","NL","Nfld. & Labrador","N/A","10","Nfld. & Labrador","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_2","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","11","11","PEI","Prince Edward Island","N/A","11","Prince Edward Island","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_3","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","12","11","NS","Nova Scotia","N/A","12","Nova Scotia","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_4","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","13","11","NB","New Brunswick","N/A","13","New Brunswick","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_5","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","24","11","QC","Quebec","N/A","24","Quebec","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_6","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","35","11","ON","Ontario","N/A","35","Ontario","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_7","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","46","11","MB","Manitoba","N/A","46","Manitoba","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_8","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","47","11","SK","Saskatchewan","N/A","47","Saskatchewan","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_9","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","48","11","AB","Alberta","N/A","48","Alberta","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_10","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","59","11","BC","British Columbia","N/A","59","British Columbia","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_11","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","60","11","YT/NT/NU","Yukon/NWT/Nunavut","N/A","[60,62]","Yukon/NWT/Nunavut","Province","Province of residence of respondent (G)","CCHS2015_2016 and CCHS2017_2018 divides category into Yukon (60), NWT (61), and Nunavut (62)","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_NA::a","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","NA::a","11","not applicable","not applicable","N/A","96","not applicable","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_NA::b","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","NA::b","11","missing","missing","N/A","[97,99]","don't know (97); refusal (98); not stated (99)","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"GEOGPRV","GEOGPRV_cat11_NA::b","cat","cchs2019_2020_p, cchs2022_p","[GEOGPRV]",,"cat","NA::b","11","missing","missing","N/A","else","else","Province","Province of residence of respondent (G)","","2.2.0","2025-11-18","active",,,
"WTS_M","N/A","cont","cchs2019_2020_p, cchs2022_p","[WTS_M]",,"N/A","copy","N/A","N/A","N/A","N/A","[1,100000]","N/A","Weight","Weights","","2.2.0","2025-11-18","active",,,
